episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
205,2.9267,3.2211,0.3561,0.000115,0,150
206,2.8200,3.2746,0.3543,0.000103,0,150
207,4.9400,3.3328,0.3525,0.000130,0,150
208,2.8600,3.4147,0.3508,0.000084,0,150
209,4.9133,3.4773,0.3490,0.000091,0,150
210,2.9667,3.5175,0.3473,0.000074,0,150
211,2.8167,3.5560,0.3455,0.000038,0,150
212,2.8600,3.5957,0.3438,0.000123,0,150
213,2.7933,3.5593,0.3421,0.000111,0,150
214,2.8200,3.5278,0.3404,0.000051,0,150
215,2.9800,3.5023,0.3387,0.000054,0,150
216,2.9933,3.4778,0.3370,0.000069,0,150
217,3.1933,3.4517,0.3353,0.000065,1,150
218,2.8067,3.3850,0.3336,0.000088,0,150
219,2.9133,3.3373,0.3320,0.000060,0,150
220,4.6867,3.2694,0.3303,0.000074,0,150
221,2.7933,3.2174,0.3286,0.000066,0,150
222,2.8733,3.1652,0.3270,0.000081,0,150
223,2.8067,3.1508,0.3254,0.000053,0,150
224,2.8733,3.1334,0.3237,0.000078,0,150
225,2.9400,3.1154,0.3221,0.000092,0,150
226,2.8067,3.0965,0.3205,0.000103,0,150
227,4.7933,3.0740,0.3189,0.000118,0,150
228,3.1767,3.0850,0.3173,0.000106,0,150
229,4.7533,3.1002,0.3157,0.000193,0,150
230,2.9133,3.1538,0.3141,0.000110,0,150
231,2.7667,3.1724,0.3126,0.000078,0,150
232,2.7533,3.1911,0.3110,0.000069,0,150
233,2.8867,3.2084,0.3095,0.000090,0,150
234,2.8600,3.2263,0.3079,0.000081,0,150
235,2.8467,3.2436,0.3064,0.000072,1,150
236,2.7400,3.2604,0.3048,0.000096,0,150
237,2.8067,3.2784,0.3033,0.000145,0,150
238,2.7533,3.2605,0.3018,0.000104,0,150
239,5.0467,3.2346,0.3003,0.000213,0,150
240,2.8867,3.1933,0.2988,0.000084,0,150
241,2.9533,3.1695,0.2973,0.000104,0,150
242,5.1100,3.1478,0.2958,0.000116,0,150
243,4.8600,3.1509,0.2943,0.000070,0,150
244,2.8333,3.1729,0.2929,0.000037,0,150
245,2.8067,3.1947,0.2914,0.000037,0,150
246,2.7400,3.2171,0.2899,0.000100,0,150
247,2.8733,3.2402,0.2885,0.000045,0,150
248,2.9933,3.2838,0.2870,0.000067,0,150
249,5.0333,3.3340,0.2856,0.000055,0,150
250,2.9800,3.3812,0.2842,0.000113,0,150
251,5.0333,3.4296,0.2828,0.000046,0,150
252,2.9933,3.4969,0.2813,0.000067,0,150
253,3.0467,3.5194,0.2799,0.000092,0,150
254,3.0467,3.5041,0.2785,0.000042,0,150
255,2.6600,3.4912,0.2771,0.000053,0,150
256,2.7933,3.4773,0.2758,0.000154,0,150
257,2.7267,3.4638,0.2744,0.000039,0,150
258,3.0200,3.4483,0.2730,0.000099,0,150
259,2.8600,3.4306,0.2716,0.000052,0,150
260,2.9667,3.3913,0.2703,0.000042,0,150
261,2.7667,3.3509,0.2689,0.000080,0,150
262,2.8333,3.2671,0.2676,0.000101,0,150
263,2.9000,3.2028,0.2663,0.000068,0,150
264,3.1667,3.1552,0.2649,0.000062,0,150
265,3.1933,3.1067,0.2636,0.000082,0,150
266,2.9933,3.0649,0.2623,0.000039,0,150
267,2.7800,3.0247,0.2610,0.000041,0,150
268,3.1533,2.9864,0.2597,0.000033,0,150
269,2.7800,2.9492,0.2584,0.000046,0,150
270,3.2067,2.9329,0.2571,0.000090,1,150
271,3.0467,2.9192,0.2558,0.000071,0,150
272,2.8733,2.9309,0.2545,0.000105,0,150
273,3.1533,2.9447,0.2532,0.000038,0,150
274,2.9000,2.9624,0.2520,0.000048,0,150
275,2.9133,2.9763,0.2507,0.000033,0,150
276,2.9533,2.9820,0.2495,0.000098,0,150
277,2.7933,2.9853,0.2482,0.000068,0,150
278,4.9267,2.9883,0.2470,0.000049,0,150
279,2.4600,3.0076,0.2457,0.000080,0,150
280,3.0200,3.0245,0.2445,0.000035,0,150
281,5.0200,3.0372,0.2433,0.000052,0,150
282,2.8867,3.0668,0.2421,0.000072,0,150
283,2.9933,3.0961,0.2409,0.000031,0,150
284,4.9933,3.1213,0.2397,0.000046,0,150
285,2.9533,3.1701,0.2385,0.000072,0,150
286,5.1400,3.2221,0.2373,0.000056,0,150
287,3.1133,3.2964,0.2361,0.000035,1,150
288,2.9533,3.3737,0.2349,0.000051,0,150
289,2.9133,3.4136,0.2337,0.000099,0,150
290,2.9933,3.4612,0.2326,0.000053,0,150
291,3.0867,3.5104,0.2314,0.000122,0,150
292,2.9533,3.5205,0.2302,0.000025,0,150
293,2.9800,3.5312,0.2291,0.000136,0,150
294,2.9667,3.5433,0.2279,0.000037,0,150
295,2.6067,3.5143,0.2268,0.000099,0,150
296,3.0200,3.4813,0.2257,0.000032,0,150
297,3.0333,3.4053,0.2245,0.000094,0,150
298,3.0200,3.3253,0.2234,0.000033,0,150
299,2.9933,3.2657,0.2223,0.000046,0,150
300,2.7000,3.2024,0.2212,0.000095,0,150
301,3.0733,3.1364,0.2201,0.000114,0,150
302,3.1000,3.0896,0.2190,0.000033,0,150
303,3.0333,3.0436,0.2179,0.000033,0,150
304,3.0333,2.9983,0.2168,0.000091,0,150
305,3.1800,2.9739,0.2157,0.000065,0,150
306,6.9933,2.9587,0.2146,0.000078,0,150
307,3.0733,3.0044,0.2136,0.000059,0,150
308,4.9400,3.0513,0.2125,0.000041,0,150
309,3.0200,3.1168,0.2114,0.000027,0,150
310,3.1533,3.1817,0.2104,0.000024,0,150
311,3.4867,3.2541,0.2093,0.000070,1,150
312,3.0333,3.3308,0.2083,0.000033,0,150
313,3.1933,3.4053,0.2072,0.000058,0,150
314,2.7667,3.4809,0.2062,0.000029,0,150
315,2.9400,3.5532,0.2052,0.000029,0,150
316,3.1400,3.6173,0.2041,0.000046,0,150
317,3.1800,3.6032,0.2031,0.000057,0,150
318,3.5933,3.5897,0.2021,0.000035,1,150
319,3.0733,3.5436,0.2011,0.000058,0,150
320,3.2067,3.4977,0.2001,0.000065,0,150
321,4.9533,3.4479,0.1991,0.000073,0,150
322,3.0600,3.4085,0.1981,0.000044,0,150
323,5.1933,3.3701,0.1971,0.000067,0,150
324,2.8867,3.3501,0.1961,0.000049,0,150
325,5.1000,3.3340,0.1951,0.000035,0,150
326,5.1133,3.3419,0.1942,0.000021,0,150
327,3.0467,3.4080,0.1932,0.000041,0,150
328,3.0200,3.4717,0.1922,0.000042,0,150
329,5.1533,3.5432,0.1913,0.000068,0,150
330,2.9400,3.6349,0.1903,0.000038,0,150
331,3.2467,3.7235,0.1893,0.000036,0,150
332,5.1133,3.7803,0.1884,0.000038,0,150
333,5.0733,3.8573,0.1875,0.000043,0,150
334,3.0200,3.9132,0.1865,0.000054,0,150
335,3.1000,3.9692,0.1856,0.000040,0,150
336,5.1667,3.9836,0.1847,0.000032,0,150
337,5.2600,3.9788,0.1837,0.000040,0,150
338,3.1533,3.9975,0.1828,0.000049,0,150
339,3.1400,4.0232,0.1819,0.000030,0,150
340,2.9800,4.0080,0.1810,0.000035,0,150
341,2.8867,3.9959,0.1801,0.000043,0,150
342,3.2733,3.9972,0.1792,0.000027,0,150
343,5.0067,3.9596,0.1783,0.000034,0,150
344,5.1667,3.9225,0.1774,0.000037,0,150
