episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
220,2.7200,2.4961,0.3303,0.000299,1,100
221,2.0750,2.5184,0.3286,0.000233,0,100
222,2.5000,2.5375,0.3270,0.000225,1,100
223,1.9950,2.5601,0.3254,0.000273,0,100
224,2.3400,2.5767,0.3237,0.000336,0,100
225,2.6000,2.5971,0.3221,0.000374,0,100
226,2.2200,2.6053,0.3205,0.000235,0,100
227,2.0800,2.6177,0.3189,0.000247,0,100
228,2.4600,2.6259,0.3173,0.000312,0,100
229,1.6550,2.6212,0.3157,0.000245,0,100
230,2.3600,2.5853,0.3141,0.000161,0,100
231,2.5200,2.5422,0.3126,0.000551,1,100
232,2.2600,2.5057,0.3110,0.000252,0,100
233,2.7000,2.4643,0.3095,0.000392,1,100
234,1.9800,2.4335,0.3079,0.000176,0,100
235,2.2200,2.3976,0.3064,0.000246,0,100
236,2.6000,2.3624,0.3048,0.000223,0,100
237,2.0400,2.3285,0.3033,0.000361,0,100
238,2.2400,2.2969,0.3018,0.000387,1,100
239,2.3000,2.2684,0.3003,0.000241,0,100
240,2.2000,2.2741,0.2988,0.000435,0,100
241,2.0000,2.2819,0.2973,0.000526,0,100
242,2.0350,2.2800,0.2958,0.000297,0,100
243,4.1600,2.2782,0.2943,0.000295,0,100
244,2.2600,2.2840,0.2929,0.000308,0,100
245,2.3400,2.2962,0.2914,0.000330,0,100
246,2.9600,2.3134,0.2899,0.000210,1,100
247,2.4000,2.3304,0.2885,0.000268,0,100
248,2.6600,2.3514,0.2870,0.000366,0,100
249,2.4400,2.3788,0.2856,0.000202,0,100
250,2.7550,2.4012,0.2842,0.000217,0,100
251,2.4400,2.4307,0.2828,0.000277,0,100
252,2.0550,2.4698,0.2813,0.000209,0,100
253,1.4950,2.5113,0.2799,0.000170,0,100
254,2.3950,2.5116,0.2785,0.000285,0,100
255,2.1800,2.5105,0.2771,0.000290,0,100
256,2.3800,2.5065,0.2758,0.000395,0,100
257,2.7800,2.4932,0.2744,0.000395,1,100
258,2.0800,2.4800,0.2730,0.000224,0,100
259,2.2400,2.4569,0.2716,0.000314,0,100
260,3.1150,2.4303,0.2703,0.000392,1,100
261,1.9000,2.4018,0.2689,0.000338,0,100
262,2.2800,2.3635,0.2676,0.000301,0,100
263,2.1200,2.3273,0.2663,0.000243,1,100
264,2.3600,2.3239,0.2649,0.000168,0,100
265,2.4200,2.3189,0.2636,0.000339,0,100
266,4.2800,2.3178,0.2623,0.000356,0,100
267,2.3150,2.3416,0.2610,0.000266,0,100
268,2.9800,2.3569,0.2597,0.000179,1,100
269,2.3200,2.3870,0.2584,0.000152,0,100
270,2.1400,2.4199,0.2571,0.000217,0,100
271,2.4000,2.4394,0.2558,0.000378,0,100
272,2.4000,2.4694,0.2545,0.000287,0,100
273,2.2750,2.4983,0.2532,0.000194,0,100
274,3.7200,2.5225,0.2520,0.000203,0,100
275,2.0200,2.5606,0.2507,0.000251,0,100
276,2.3000,2.5924,0.2495,0.000267,0,100
277,2.6550,2.5853,0.2482,0.000219,0,100
278,2.1800,2.5863,0.2470,0.000484,0,100
279,2.3000,2.5703,0.2457,0.000266,0,100
280,2.3000,2.5533,0.2445,0.000256,0,100
281,2.2200,2.5477,0.2433,0.000416,0,100
282,2.3200,2.5352,0.2421,0.000180,0,100
283,2.9800,2.5208,0.2409,0.000258,1,100
284,2.1000,2.5118,0.2397,0.000263,0,100
285,2.4000,2.4731,0.2385,0.000255,0,100
286,1.4000,2.4421,0.2373,0.000263,0,100
287,2.1200,2.4220,0.2361,0.000214,0,100
288,2.6200,2.3931,0.2349,0.000346,0,100
289,2.6000,2.3766,0.2337,0.000385,0,100
290,2.4000,2.3633,0.2326,0.000200,0,100
291,1.7600,2.3494,0.2314,0.000377,0,100
292,2.5200,2.3327,0.2302,0.000419,0,100
293,2.3200,2.3188,0.2291,0.000156,0,100
294,2.2000,2.2912,0.2279,0.000219,0,100
295,2.3400,2.2809,0.2268,0.000190,0,100
296,2.0600,2.2661,0.2257,0.000295,0,100
297,1.8000,2.2670,0.2245,0.000284,1,100
298,2.6600,2.2700,0.2234,0.000231,0,100
299,2.4400,2.2690,0.2223,0.000134,0,100
300,2.4800,2.2634,0.2212,0.000209,0,100
301,2.3200,2.2576,0.2201,0.000282,0,100
302,2.6000,2.2620,0.2190,0.000162,0,100
303,2.5400,2.2652,0.2179,0.000391,0,100
304,2.4400,2.2772,0.2168,0.000175,0,100
305,2.2400,2.2906,0.2157,0.000375,0,100
306,2.5200,2.3036,0.2146,0.000360,0,100
307,2.5800,2.3146,0.2136,0.000175,0,100
308,2.6200,2.3366,0.2125,0.000136,0,100
309,2.5600,2.3578,0.2114,0.000236,0,100
310,2.5400,2.3818,0.2104,0.000091,0,100
311,2.5000,2.4056,0.2093,0.000275,0,100
312,3.9800,2.4256,0.2083,0.000231,0,100
313,2.5600,2.4586,0.2072,0.000165,0,100
314,2.7000,2.4896,0.2062,0.000162,0,100
315,2.5000,2.5208,0.2052,0.000142,0,100
316,2.6150,2.5556,0.2041,0.000243,0,100
317,2.3600,2.5867,0.2031,0.000114,0,100
318,4.5200,2.6079,0.2021,0.000137,0,100
319,4.5400,2.6484,0.2011,0.000269,0,100
320,2.2800,2.7076,0.2001,0.000165,0,100
321,1.9750,2.7635,0.1991,0.000365,0,100
322,1.5550,2.8124,0.1981,0.000356,0,100
323,2.3200,2.8233,0.1971,0.000299,0,100
324,2.3550,2.8315,0.1961,0.000178,0,100
325,4.5000,2.8337,0.1951,0.000386,0,100
326,2.3400,2.8533,0.1942,0.000210,0,100
327,2.5600,2.8692,0.1932,0.000292,0,100
328,2.6600,2.8893,0.1922,0.000124,0,100
329,4.4600,2.8718,0.1913,0.000367,1,100
330,2.3400,2.8337,0.1903,0.000200,0,100
331,2.8000,2.7988,0.1893,0.000273,0,100
332,2.5400,2.7774,0.1884,0.000316,0,100
333,2.4400,2.7901,0.1875,0.000157,0,100
334,2.8400,2.8064,0.1865,0.000188,1,100
335,2.4600,2.8310,0.1856,0.000200,0,100
336,2.7400,2.8152,0.1847,0.000165,0,100
337,2.5400,2.8062,0.1837,0.000150,0,100
338,2.2600,2.7949,0.1828,0.000200,0,100
339,2.5600,2.7983,0.1819,0.000175,0,100
340,2.6600,2.7834,0.1810,0.000164,0,100
341,2.8150,2.7712,0.1801,0.000178,0,100
342,2.6000,2.7508,0.1792,0.000494,0,100
343,2.4400,2.7212,0.1783,0.000256,0,100
344,2.4600,2.6904,0.1774,0.000182,0,100
345,2.6600,2.6510,0.1765,0.000447,0,100
346,4.4400,2.6339,0.1756,0.000233,0,100
347,3.9950,2.6299,0.1748,0.000195,0,100
348,2.5000,2.6406,0.1739,0.000260,0,100
349,2.7200,2.6577,0.1730,0.000164,1,100
