episode,reward,moving_avg_reward,epsilon,loss,deliveries,steps
143,7.9475,7.4952,0.4859,0.000721,0,250
144,7.9300,7.4996,0.4834,0.000370,0,250
145,8.0075,7.5258,0.4810,0.000263,0,250
146,7.9300,7.5503,0.4786,0.000435,1,250
147,8.3300,7.5799,0.4762,0.000371,0,250
148,7.8375,7.6093,0.4738,0.000577,0,250
149,7.3000,7.6452,0.4715,0.000494,0,250
150,7.7775,7.6789,0.4691,0.000284,0,250
151,7.5275,7.7099,0.4668,0.000286,0,250
152,7.4975,7.7433,0.4644,0.000725,0,250
153,7.3550,7.7699,0.4621,0.000273,0,250
154,8.0675,7.7876,0.4598,0.000465,0,250
155,8.0875,7.7934,0.4575,0.000362,0,250
156,7.6100,7.8010,0.4552,0.000142,0,250
157,8.1100,7.8005,0.4529,0.000296,0,250
158,8.3175,7.7914,0.4507,0.000362,0,250
159,8.2100,7.7826,0.4484,0.000326,0,250
160,8.6875,7.7844,0.4462,0.000581,1,250
161,8.3400,7.7950,0.4440,0.000273,0,250
162,7.0900,7.8144,0.4417,0.000194,0,250
163,8.3800,7.8323,0.4395,0.000303,1,250
164,8.3775,7.8664,0.4373,0.000345,0,250
165,8.2500,7.9022,0.4351,0.000429,0,250
166,8.5800,7.9388,0.4330,0.000267,0,250
167,8.4000,7.9883,0.4308,0.000444,0,250
168,8.5500,8.0429,0.4286,0.000406,1,250
169,7.9800,8.0951,0.4265,0.000591,0,250
170,8.0200,8.1358,0.4244,0.000379,0,250
171,7.9375,8.1608,0.4223,0.000209,0,250
172,8.2300,8.1736,0.4201,0.000218,0,250
173,8.1200,8.2019,0.4180,0.000464,0,250
174,8.5600,8.2174,0.4159,0.000481,0,250
175,8.5950,8.2316,0.4139,0.000462,0,250
176,9.4200,8.2476,0.4118,0.000115,0,250
177,8.0600,8.2623,0.4097,0.000435,0,250
178,7.8400,8.2707,0.4077,0.000368,0,250
179,8.1300,8.2696,0.4057,0.000237,0,250
180,9.1000,8.2724,0.4036,0.000479,1,250
181,8.4500,8.2927,0.4016,0.000246,1,250
182,8.2100,8.3221,0.3996,0.000183,0,250
183,8.8200,8.3399,0.3976,0.000371,1,250
184,8.8300,8.3673,0.3956,0.000185,0,250
185,8.6700,8.3955,0.3936,0.000238,0,250
186,8.4800,8.4211,0.3917,0.000134,0,250
187,8.6200,8.4289,0.3897,0.000175,0,250
188,8.3900,8.4457,0.3878,0.000122,0,250
189,8.3600,8.4750,0.3858,0.000279,0,250
190,8.3500,8.5052,0.3839,0.000259,0,250
191,8.7075,8.5171,0.3820,0.000303,0,250
192,9.1500,8.5264,0.3801,0.000231,1,250
193,8.8100,8.5453,0.3782,0.000274,0,250
194,8.6900,8.5572,0.3763,0.000236,0,250
195,8.7900,8.5649,0.3744,0.000211,1,250
196,9.0100,8.5731,0.3725,0.000305,0,250
197,9.2900,8.5959,0.3707,0.000311,0,250
198,8.8875,8.6199,0.3688,0.000318,0,250
199,8.9300,8.6434,0.3670,0.000131,0,250
200,8.4000,8.6702,0.3651,0.000285,0,250
201,8.6875,8.7051,0.3633,0.000570,0,250
202,9.3000,8.7371,0.3615,0.000232,0,250
203,9.0400,8.7613,0.3597,0.000382,0,250
204,8.7200,8.7879,0.3579,0.000189,0,250
205,8.1600,8.8162,0.3561,0.000247,0,250
206,8.7900,8.8369,0.3543,0.000235,1,250
207,8.8200,8.8502,0.3525,0.000336,0,250
208,9.1000,8.8521,0.3508,0.000254,0,250
209,8.8900,8.8511,0.3490,0.000326,0,250
210,8.7400,8.8440,0.3473,0.000302,0,250
211,8.9300,8.8399,0.3455,0.000180,0,250
212,9.1000,8.8383,0.3438,0.000178,0,250
213,8.6000,8.8333,0.3421,0.000190,0,250
214,9.1175,8.8215,0.3404,0.000100,0,250
215,9.2175,8.8134,0.3387,0.000223,0,250
216,9.2500,8.8222,0.3370,0.000116,0,250
217,9.2175,8.8378,0.3353,0.000157,0,250
218,9.9100,8.8621,0.3336,0.000156,0,250
219,9.1300,8.8924,0.3320,0.000127,0,250
220,9.1000,8.9254,0.3303,0.000133,0,250
221,9.3800,8.9587,0.3286,0.000095,0,250
222,9.0400,8.9940,0.3270,0.000156,1,250
223,9.2200,9.0307,0.3254,0.000300,0,250
224,9.3200,9.0780,0.3237,0.000171,0,250
225,9.0500,9.1234,0.3221,0.000120,0,250
226,9.5600,9.1565,0.3205,0.000142,0,250
227,9.5300,9.1882,0.3189,0.000172,1,250
228,9.5000,9.2189,0.3173,0.000097,0,250
229,9.3200,9.2375,0.3157,0.000264,0,250
230,9.4875,9.2556,0.3141,0.000241,0,250
231,8.8775,9.2739,0.3126,0.000271,0,250
232,9.5300,9.2828,0.3110,0.000198,0,250
233,9.7175,9.2971,0.3095,0.000123,0,250
234,9.5075,9.3102,0.3079,0.000089,0,250
235,9.4375,9.3231,0.3064,0.000101,0,250
236,9.5600,9.3416,0.3048,0.000104,0,250
237,9.5600,9.3570,0.3033,0.000107,0,250
238,9.3000,9.3696,0.3018,0.000131,0,250
